x,y,z
25915,36047,67070
25980,36047,67070
26009,36089,67070
26042,36088,67070
26029,36051,67070
26090,36046,67070
26075,36088,67070
26126,36065,67070
26184,36082,67070
26216,36087,67070
26214,36044,67070
26534,36074,67070
26658,36036,67070
26740,36080,67070
26803,36054,67070
27013,36039,67070
27237,36085,67070
27348,36039,67070
27502,36085,67070
27806,36071,67070
27911,36062,67070
28016,36044,67070
19931,36150,67070
20078,36140,67070
20517,36096,67070
20566,36126,67070
20647,36149,67070
20680,36105,67070
20689,36143,67070
20780,36100,67070
20757,36144,67070
20848,36147,67070
20908,36129,67070
20948,36101,67070
21107,36111,67070
21067,36159,67070
21157,36142,67070
21207,36120,67070
21254,36098,67070
21738,36102,67070
21811,36128,67070
21869,36127,67070
22127,36156,67070
22239,36114,67070
22390,36149,67070
22518,36121,67070
22527,36149,67070
22560,36115,67070
22605,36103,67070
22762,36104,67070
22782,36156,67070
22832,36144,67070
22897,36097,67070
22855,36117,67070
23014,36157,67070
23140,36096,67070
23412,36106,67070
23410,36133,67070
23464,36097,67070
23509,36146,67070
23575,36138,67070
23619,36106,67070
25230,36120,67070
25325,36126,67070
25552,36147,67070
25857,36138,67070
25943,36102,67070
26006,36159,67070
26051,36125,67070
26075,36128,67070
26109,36116,67070
26173,36143,67070
26249,36142,67070
26366,36112,67070
26410,36156,67070
26469,36156,67070
26546,36148,67070
26602,36101,67070
26672,36139,67070
26824,36142,67070
27216,36148,67070
27408,36118,67070
27640,36158,67070
27968,36129,67070
28103,36098,67070
20036,36182,67070
20154,36183,67070
20491,36171,67070
20605,36162,67070
20545,36172,67070
20553,36222,67070
20633,36215,67070
20664,36190,67070
20709,36189,67070
20785,36201,67070
20737,36221,67070
20806,36178,67070
20992,36186,67070
21119,36170,67070
21261,36211,67070
21376,36172,67070
21469,36176,67070
21563,36162,67070
21927,36174,67070
22512,36203,67070
22574,36170,67070
22678,36163,67070
22813,36202,67070
22890,36172,67070
23044,36168,67070
23372,36219,67070
23525,36221,67070
23652,36167,67070
25018,36162,67070
25604,36205,67070
25797,36169,67070
25898,36175,67070
25870,36220,67070
25983,36188,67070
25952,36220,67070
26031,36160,67070
26013,36192,67070
25998,36219,67070
26077,36186,67070
26141,36222,67070
26206,36203,67070
26274,36219,67070
26330,36178,67070
26349,36222,67070
26376,36180,67070
26395,36223,67070
26605,36210,67070
26697,36206,67070
26744,36185,67070
26982,36199,67070
27019,36211,67070
27058,36216,67070
27130,36208,67070
27123,36169,67070
27091,36189,67070
27157,36171,67070
27361,36211,67070
27474,36214,67070
27835,36185,67070
19902,36266,67070
20011,36242,67070
20124,36234,67070
20302,36227,67070
20628,36267,67070
20665,36262,67070
20687,36230,67070
20698,36264,67070
20766,36272,67070
20842,36229,67070
20926,36237,67070
20954,36284,67070
20997,36264,67070
21100,36247,67070
21429,36250,67070
21548,36242,67070
21825,36246,67070
21957,36286,67070
22231,36280,67070
22471,36255,67070
22616,36263,67070
22736,36262,67070
22814,36282,67070
22869,36247,67070
22898,36278,67070
22960,36264,67070
23008,36230,67070
23034,36272,67070
23071,36233,67070
23103,36275,67070
23161,36238,67070
23432,36286,67070
23660,36268,67070
23772,36224,67070
24927,36276,67070
25027,36249,67070
25140,36240,67070
25240,36238,67070
25414,36240,67070
25503,36234,67070
25591,36277,67070
25777,36268,67070
25920,36279,67070
25964,36272,67070
26044,36229,67070
26022,36235,67070
26013,36266,67070
26082,36249,67070
26175,36248,67070
26368,36259,67070
26400,36287,67070
26453,36249,67070
26519,36243,67070
